_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
30001	Raumisttemp-HK1	Raumisttemparatur HK1	°C	int16be	1	1	0		value.temperature			
30002	Raumsolltemp-HK1	Raumsolltemperatur HK1	°C	int16be	1	1	0		value.temperature			
30003	Raumfeuchte-HK1	Raumfeuchte HK1	%	int16be	1	1	0		value.humidity			
30004	Raumisttemp-HK2	Raumisttemparatur HK2	°C	int16be	1	1	0		value.temperature			
30005	Raumsolltemp-HK2	Raumsolltemperatur HK2	°C	int16be	1	1	0		value.temperature			
30006	Raumfeuchte-HK2	Raumfeuchte HK2	%	int16be	1	1	0		value.humidity			
30007	Aussentemperatur	Aussentemperatur	°C	int16be	1	1	0		value.temperature			
30008	Istwert-HK1	Istwert HK1	°C	int16be	1	1	0		value.temperature			
30009	Sollwert-HK1	Sollwert HK1	°C	int16be	1	1	0		value.temperature			
30010	Istwert-HK2	Istwert HK2	°C	int16be	1	1	0		value.temperature			
30011	Sollwert-HK2	Sollwert HK2	°C	int16be	1	1	0		value.temperature			
30012	Vorlauftemp	Vorlauftemperatur	°C	int16be	1	1	0		value.temperature			
30013	Ruecklauftemp	Rücklauftemperatur	°C	int16be	1	1	0		value.temperature			
30014	Druck-Heizkreis	Druck Heizkreis	bar	int16be	1	1	0		value.pressure			
30015	Volumenstrom	Volumenstrom	l/min	int16be	1	1	0		value.valve			
30016	WW-Isttemp	Warmwasser - Isttemperatur	°C	int16be	1	1	0		value.temperature			
30017	WW-Sollttemp	Warmwasser - Solltemperatur	°C	int16be	1	1	0		value.temperature			
30018	Zuluft-Ist-Luefterdrehzahl	Zuluft Ist - Lüfterdrehzahl	Hz	uint16be	1	1	0		value			
30019	Zuluft-Soll-Volumenstrom	Zuluft Soll - Volumenstrom	m³/h	uint16be	1	1	0		value.valve			
30020	Abluft-Ist-Luefterdrehzahl	Abluft Ist - Lüfterdrehzahl	Hz	uint16be	1	1	0		value			
30021	Abluft-Soll-Volumenstrom	Abluft Soll - Volumenstrom	m³/h	uint16be	1	1	0		value.valve			
30022	Abluftfeuchte	Abluftfeuchte	%	uint16be	1	1	0		value.humidity			
30023	Ablufttemperatur	Ablufttemperatur	°C	int16be	1	1	0		value.temperature			
30024	Ablufttaupunkt	Ablufttaupunkt	°C	int16be	1	1	0		value.temperature			
30025	Taupunkttemperatur-HK1	Taupunkttemperatur HK1	°C	int16be	1	1	0		value.temperature			
30026	Taupunkttemperatur-HK2	Taupunkttemperatur HK2	°C	int16be	1	1	0		value.temperature			
30027	Kollektortemperatur	Kollektortemperatur	°C	int16be	1	1	0		value.temperature			
30028	Heissgastemp	Heissgastemperatur	°C	int16be	1	1	0		value.temperature			
30029	Hochdruck	Hochdruck	bar	int16be	1	1	0		value.pressure			
30030	Niederdruck	Niederdruck	bar	int16be	1	1	0		value.pressure			
30031	Verdichterstarts	Verdichterstarts		uint16be	1	1	0		value			
30032	Verdichterdrehzahl	Verdichterdrehzahl	Hz	int16be	1	1	0		value.valve			
30033	Mischwassermenge	Mischwassermenge	l	int16be	1	1	0		value			
32001	Betriebsstatus	Betriebsstatus		uint16be	1	1	0		indicator			
32002	Fehlerstatus	Fehlerstatus		uint16be	1	1	0		indicator			
32003	BUS-Status	BUS-Status		int16be	1	1	0		indicator			
32004	Abtauen-eingeleitet	Abtauen eingeleitet		uint16be	1	1	0		indicator			
32005	Betriebsstatus-2	Betriebsstatus 2		uint16be	1	1	0		indicator			
33001	WM-Heizen-Tag	Wärmemenge-Heizen - Tag	kWh	uint16be	1	1	0		value.power.consumption			
33002	WM-Heizen-Summe	WM-Heizen - Summe	kWh	uint16be	1	1	0		value.power.consumption			
33003	WM-Heizen-Summe	WM-Heizen - Summe	MWh	uint16be	1	1	0		value.power.consumption			
33004	WM-WW-Tag	Wärmemenge-Warmwasser - Tag	kWh	uint16be	1	1	0		value.power.consumption			
33005	WM-WW-Summe	Wärmemenge-Warmwasser - Summe	kWh	uint16be	1	1	0		value.power.consumption			
33006	WM-WW-Summe	Wärmemenge-Warmwasser - Summe	MWh	uint16be	1	1	0		value.power.consumption			
33007	WM-NE-Heizen-Summe	WM-NE-Heizen - Summe	kWh	uint16be	1	1	0		value.power.consumption			
33008	WM-NE-Heizen-Summe	WM-NE-Heizen - Summe	MWh	uint16be	1	1	0		value.power.consumption			
33009	WM-NE-WW-Summe	Wärmemenge-NE-Warmwasser - Summe	kWh	uint16be	1	1	0		value.power.consumption			
33010	WM-NE-WW-Summe	Wärmemenge-NE-Warmwasser - Summe	MWh	uint16be	1	1	0		value.power.consumption			
